level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1080	1080	-1	
2	1	1	0	0	0	0	0	1004	985	-1	
3	1	1	1	0	0	0	0	1004	985	-1	
4	1	1	1	1	0	0	0	684	32	-1	
5	1	1	1	1	1	0	15	22	16	59.557495	~
5	1	1	1	1	2	355	0	24	17	58.058086	-
5	1	1	1	1	3	579	17	37	15	70.408386	—
5	1	1	1	1	4	643	5	41	17	36.283669	a”
4	1	1	1	2	0	235	117	637	29	-1	
5	1	1	1	2	1	235	123	13	23	7.399063	BB
5	1	1	1	2	2	296	123	13	22	37.742500	YG
5	1	1	1	2	3	414	117	23	19	93.015335	od
5	1	1	1	2	4	443	118	94	18	91.927727	14.9.2026
5	1	1	1	2	5	543	117	22	19	89.345306	do
5	1	1	1	2	6	572	118	93	18	89.345306	18.9.2026
5	1	1	1	2	7	741	118	131	22	78.791565	Vpivamikmenu
4	1	1	1	3	0	206	148	645	33	-1	
5	1	1	1	3	1	206	157	135	24	96.674774	BLUEBELL
5	1	1	1	3	2	467	154	19	18	93.648201	od
5	1	1	1	3	3	493	154	44	18	92.551628	11:00
5	1	1	1	3	4	542	154	20	18	96.743782	do
5	1	1	1	3	5	568	154	44	18	96.058861	14:00
5	1	1	1	3	6	760	148	49	18	91.288521	dzban
5	1	1	1	3	7	813	148	38	23	92.607109	vody
4	1	1	1	4	0	206	177	642	33	-1	
5	1	1	1	4	1	206	190	18	4	84.698296	—
5	1	1	1	4	2	235	177	72	33	43.013760	PIVÁREŇ
5	1	1	1	4	3	314	190	27	4	43.013760	—
5	1	1	1	4	4	766	178	82	24	63.631752	sditrónom
4	1	1	1	5	0	496	200	346	51	-1	
5	1	1	1	5	1	496	217	93	34	96.511261	POLIEVKY
5	1	1	1	5	2	772	200	70	51	95.511238	GRATIS
4	1	1	1	6	0	418	255	243	24	-1	
5	1	1	1	6	1	418	255	40	23	88.941772	0,331
5	1	1	1	6	2	465	255	52	19	95.872673	Kurací
5	1	1	1	6	3	520	255	47	24	82.299034	Vývar
5	1	1	1	6	4	572	264	23	12	85.830811	139
5	1	1	1	6	5	609	256	52	21	88.306320	2,00€
4	1	1	1	7	0	394	287	291	24	-1	
5	1	1	1	7	1	394	287	40	23	88.882629	0,331
5	1	1	1	7	2	442	287	45	19	92.360382	Podľa
5	1	1	1	7	3	494	287	57	24	92.360382	Dennej
5	1	1	1	7	4	558	287	61	24	96.886665	Ponuky
5	1	1	1	7	5	632	288	53	21	96.856117	2,00€
4	1	1	1	8	0	395	320	289	23	-1	
5	1	1	1	8	1	395	320	41	23	91.932396	0,331
5	1	1	1	8	2	443	320	69	19	92.608879	Polievka
5	1	1	1	8	3	518	320	99	19	96.005272	Samostatne
